"","description2"
"59","Orlando, FL -The man charged in the death of a 2-year-old boy gave his version of what happened.

New recordings and documents are being released in the wake of Jayce Martin's death last July.

Police have said he was tortured by his mother, Victoria Toth, and her boyfriend, Jonathan Pursglove.

Jayce Martin was just two years old when the medical examiner said he died of severe physical trauma, as if he was repeatedly punched.

It happened inside the home he shared with his mother and her boyfriend, officials said.

Now, six months after Jayce's death, the State Attorney's Office is releasing a recorded conversation with Pursglove, in which he said, Toth was the last person alone with her son.

""I saw her carry him into the room, and I heard her, and she said, 'Jonathan! Jonathan! Oh my God,' and I said, 'What?' And I jumped up and I thought he was maybe throwing up again,"" Pursglove said. ""And I ran to the bathroom and at that point she had already had him down on the floor at that point, and I realized as she was saying, 'Jayce, Jayce,' and she looked at me and said, 'What do we do?' And I said, 'I don't know,' so I started doing CPR because he wasn't breathing.""

Pursglove told police Jayce appeared to be sick, for several days before his death, and recalled a trip to a local park.

""I thought he might have been dehydrated because it's been so hot. Yeah,"" he said. ""We went to that park and I just remember that he didn't want to play. You know, he didn't want to do anything. He didn't want to play.""

Pursglove and Toth are charged with aggravated manslaughter of a child.

Pursglove and Toth will now be tried later, rather than sooner. On Tuesday during a pre-trial hearing at the courthouse, the judge moved the trial back to July.

In an interview with police, Toth was asked numerous times to implicate Pursglove, but records show she would not do so."
"60","Norfolk, VA – Norfolk Police arrested a woman for an incident involving the death of a child.

In November 2018, police and paramedics responded to a scene and found an unresponsive child.

Catherine Seals is the mother of that child and it’s reported by officials that she was involved in the incident in which the child died.

The child was transported to CHKD and pronounced dead at the hospital. The cause of death still under investigation.

Officials have deemed this an undetermined death."
"61","Clayton, NY - A Jefferson County man has been arrested for allegedly raping a woman and issuing a false statement to investigators.

24-year-old Derrick Nier, of Clayton, has been charged with first-degree rape and second-degree offering a false instrument for filing. 

Nier was sent to the Jefferson County Public Safety Building on $20,000 cash or $40,000 bond."
"62","Spokane, WA - After learning his girlfriend had been accused of murdering her ex’s mother, a Washington state man said he called 911 to tell police where they could find her.

Ashley Horning, 25, is being held on $1 million bond after Spokane Police charged her with the second-degree murder of Christina Powell, the 48-year-old mother of her ex — and the grandmother of her young daughter.

Zachariah Gardner told KXLY he and Horning had been dating for several weeks when he discovered she was a murder suspect.

“She was a good woman, I’ll tell you that for sure,” Gardner told the station. “Obviously, that’s hard for some people to see right now.”

Police allege Horning fatally shot Powell on Thursday morning before going on the run from police.

Court documents obtained by PEOPLE confirm Gardner received a Facebook message from Horning not long after Powell’s killing. In it, she allegedly expressed suicidal thoughts.

Gardner said he went to meet Horning, who was sitting on a bench about a mile from the crime scene.

“Long story short, I picked her up because I felt something was off,” Gardner told KXLY.

It was then, he said, that Horning showed him a news story about how police were searching for her.

“It was a stressful situation and I said, ‘We’re going to turn you in,’ and then she agreed,” Gardner recalled.

Gardner told the station police were on the scene within a minute of that call."
"63","Greencreek, ID - Two Idaho sisters described as ""super-nice ladies"" pitched a murder-for-hire plot to a fuel delivery man -- who they earlier accused of stalking -- and then to an undercover cop -- who they'd just met -- before they were arrested, police said.

And, still, no one is sure why the women allegedly wanted their neighbor dead.

Debra Wensman, 50, and Doris Wensman, 46, of Greencreek, were arrested Thursday after allegedly offering to give an undercover officer money, guns and ammunition to kill their neighbor, Ed Stubbers, The Lewiston Tribune reported.

Ryan Mader was delivering fuel to the sisters Tuesday when they confronted him and accused him of stalking them, the newspaper reported, citing a probable cause affidavit. Officials said the sisters were paranoid that people were trying to bankrupt them so they'd lose their farm and they appeared to believe Mader was part of the plot.

But then, somehow, the conversation allegedly turned to the sisters offering Mader guns, ammunition and $5,000 to kill Stubbers. The sisters told Mader they had tried in the past to hire someone to kill Stubbers, but never went through with it, The Lewiston Tribune reported. Mader told his employer about the encounter, and Mader's boss went to the cops.

On Thursday, deputy Sam AuGello, working undercover, drove to the Wensman’s property. The sisters, who reportedly said their house was bugged, allegedly began to discuss the murder-for-hire plot with the stranger and offered him $ 1,500, guns and ammo to kill their neighbor. They even gave the deputy a loaded handgun as an “act of good faith,” according to The Lewiston Tribune. The sisters allegedly told AuGello they had to go the bank to withdraw the money for the job. When they came back, police were waiting.

It's not clear what motive the sisters had for wanting Stubbers dead. One person from the area told The Daily Beast the sisters may have felt harassed by the surrounding residents. A former neighbor told the outlet the sisters were “super-nice ladies.”

The sisters were charged with felony purpose of promoting or facilitating the commission of a crime by soliciting a person to commit murder. They were being held at the Idaho County Jail on separate $100,000 bonds."
"64","Flagler County, FL - The Flagler County Sheriff's Office was involved in a three-hour standoff with former ""America's Most Wanted"" suspect and Virginia fugitive, Michael Moore.

Flagler deputies were alerted Saturday that a license plate reader spotted a vehicle on Palm Coast Parkway that was reported stolen during an armed robbery in Virginia.

According to the FCSO, deputies were able to locate the vehicle on Belle Terre Parkway and attempted a felony traffic stop. 

Deputies say Moore eventually stopped the car on Beaverdam Lane but refused to exit the vehicle or comply deputies' commands.

FCSO evacuated homes in the direct area and set a perimeter around the suspect.

According to FCSO, they called out the SWAT team and Hostage Negotiation Team along with K-9, Fire Flight and patrol deputies to secure the area.

Deputies say three hours later, negotiators were able to persuade Moore to surrender and he was taken into custody. 

The FCSO says this is not Moore's first time dealing with law enforcement. In 1996, he was on ""America's Most Wanted"" after stabbing his wife 33 times and abducting his 5-year-old daughter. His wife survived. 

The arrest that FCSO made Saturday was for the active fugitive warrant for an assault and battery in Virginia."
"65","Memphis, TN — A  31-year-old man has been charged with kidnapping a woman from the parking lot of a Northeast Memphis strip club, then raping and robbing her.

Luis Arteaga was arrested Saturday and is being held on a $30,000 bond.

Police say he kidnapped a woman outside The Gold Club on North White Station Road last Saturday, drove her to another parking lot, raped her, and stole her purse and cell phone.

“It’s to the point nowadays where women can’t – we can’t do anything without having to be concerned with somebody doing something like this. And it’s appalling. It’s appalling,"" said Brandy McBroom, who lives nearby.

Court records show the victim was drunk and had fallen asleep in the passenger seat of her car in the club’s parking lot.

She says she woke up in another parking lot with Arteaga on top of her. Her cries and screams scared him off, and she drove back to the club and called police.

For McBroom, the fact that an accused rapist was walking the streets for a week before being caught is a terrifying wake-up call.

“He could have been walking around my neighborhood. I could have been taking my garbage out or coming up here to the store,"" she said. ""It could have just as easily happened to me or you or anybody else.""

Another woman WREG spoke to said she saw the crime scene that night while she was getting gas across the street.

“They [police] had it all wrapped up and I didn’t know what was going on,"" she said. “I noticed they had all the dancers not coming out ‘til the next day.”

According to the arrest affidavit, the victim told police she couldn’t remember what Arteaga looked like or exactly what happened because she was drunk.

And he might have gotten away with it if not for the surveillance cameras outside the club – and one major mistake.

Investigators say those cameras captured Arteaga getting into the victim’s car. And then Saturday, he showed back up to the scene of the crime, and that’s when management called detectives.

“The world we live in today, it’s just amazing to me how people think they can get away with these sort of things,"" McBroom said. ""I mean, we have cameras everywhere. Everywhere. So, I mean, he had to know he was gonna get caught.”

Police say Arteaga waived his rights and gave a written statement, admitting to getting into the victim’s car and driving her to an unknown location, but insisting the sex was consensual.

He’ll face a judge Monday morning.

Arteaga has no prior criminal record in Shelby County. He’s now charged with aggravated kidnapping, rape and theft."
"66","Sarasota, FL - A 24-year-old rape case in West Palm Beach has finally been solved thanks to new DNA testing, according to police.

In 1995, police say a 14-year-old girl was at her school bus stop when a man offered to give her a ride to school. She got into his car and he sexually assaulted her.

It wasn’t until now that police got a break in the case. Police submitted DNA from a rape kit to a national database and it led them to Jeffries Jackson. He was in court on Thursday morning. The judge set his bond at $100,000.

A new statewide initiative in Florida provides extra money and resources to police departments that have a backlog of untested rape kits."
"67","Norristown, PA - UPDATE: 1:27 PM PT -- Cosby's first order of business as a prisoner was posing for his mug shot.

12:08 PM PT -- Andrew Wyatt, a spokesperson for Cosby just made a statement outside the courthouse calling the trial the most racist and sexist trial in the history of the United States. Wyatt continued by saying, ""They persecuted Jesus and look what happened. Not saying Mr. Cosby is Jesus, but we know what this country has done to black men for centuries."" 

11:55 AM PT -- Gloria Allred and several of Cosby's victims appeared outside the courthouse and spoke briefly with reporters. Gloria said, “This has been a long journey to justice for all of the accusers. We’re glad the judgment day has finally come for Mr. Cosby” 

11:47 AM PT -- Cosby has been remanded and will be locked up immediately. According to witnesses in the courthouse, Cosby emptied his pockets and removed his tie before being taken into custody.

10:55 AM PT -- Bill Cosby will serve 3 to 10 years in a Pennsylvania state prison. The judge just announced the length of sentence. The judge has denied Cosby bail. 

If Cosby serves the full term, he'll be 91 when he's released.

In imposing the sentence, the judge said, ""I'm not permitted to treat him any differently based on who he is or who he was."" The judge added, ""As she [Constand] said, Mr. Cosby, you took her beautiful, healthy young spirit and crushed it."" He told Constand, ""I heard the very clear impact on your life.""

10:50 AM PT -- Bill Cosby will go to state prison ... so said the judge in his sexual assault case. The judge just said prison will be Cosby's fate. He has not yet announced the length of the sentence.

Bill Cosby was all smiles as he entered court Tuesday morning but ahead of his sentencing, the judge ruled he will be classified a ""sexually violent predator.""

The decision came down Tuesday morning, and means the 81-year-old disgraced comedian's name will appear on a sex-offender registry, which is sent to neighbors and schools. He also has to undergo lifetime counseling and must report quarterly to authorities.

The decision came down Tuesday morning, and means the 81-year-old disgraced comedian's name will appear on a sex-offender registry, which is sent to neighbors and schools. He also has to undergo lifetime counseling and must report quarterly to authorities. 

Also in court Tuesday, prosecutors released Andrea Constand's full victim impact statement in which she details the harrowing experience of being sexually assaulted by Cosby, and the aftermath.

 

In the letter, Constand said she couldn't talk, eat, sleep or socialize after Cosby assaulted her back in 2004 at his home. She added, ""The psychological, emotional and financial bullying included a slander campaign in the media that left my entire family reeling in shock and disbelief.""

She also describes the time right after the assault, while she still had to work with Cosby in the Temple University athletic department -- ""The sound of his voice over the phone felt like a knife going through my guts. The sight of the man who drugged and sexually assaulted me coming into the basketball office filled me with dread.""

Cosby is facing a maximum of 10 years in prison for the 3 sexual assault convictions, but the judge could go as light as probation.

Prosecutors want the judge to throw the book at Cosby, and railed on the defense for suggesting house arrest is appropriate. Prosecutors said house arrest would put Cosby in the lap of luxury, pointing to the 81-year-old's wife, Camille, throwing a birthday party for her husband at the house back in July ... complete with a live 5-piece jazz band that started jamming at 7 AM.

Cosby's trial lasted 13 days which included testimony from Constand and 5 other women who claim they were also drugged and sexually assaulted by Cosby. 

Cosby's June 2017 trial ended in a mistrial because the jury at the time had 2 not guilty holdouts."
"68","Charleston, SC — Reality television star Thomas Ravenel was arrested Thursday after a former nanny said he fondled her at his South Carolina home featured in his TV show “Southern Charm” nearly four years ago.

Ravenel, 56, was charged with misdemeanor second-degree assault and battery, according to a sworn statement from Charleston Police which said they had photos of the injuries caused when the woman’s underwire bra cut into her chest and her shirt got caught around her neck as Ravenel tried to forcibly take off her clothes.

Bravo released a statement shortly after saying Ravenel would no longer appear on the network’s “Southern Charm” show.

Ravenel is already a felon. He was arrested in 2007 less than a year into his term as South Carolina treasurer after he bought cocaine for himself and his friends. The real estate developer pleaded guilty and spent 10 months in prison.

In 2014, Ravenel pleaded guilty to driving under the influence in Long Island, New York, resulting in his license being suspended for six months.

The former nanny said she was in Ravenel’s Charleston home in January 2015 when he took off her pants and fondled her, according to the sworn statement.

The woman also said Ravenel put his penis in her face and made vulgar comments, according to the affidavit.

She immediately called her family and pictures were taken of her injuries, police said.

“It has affected me every single day since he has done this. It’s not a situation where someone wins or loses. We all lost,” the nanny said in court, according to The Post and Courier of Charleston.

Ravenel and his lawyer didn’t comment on the charge as he was released on his own recognizance after the bond hearing, media outlets reported. He faces up to three years in prison if convicted.

Ravenel was an original primary cast member of “Southern Charm,” which followed the love-lives, booze-filled partying and careers — or lack thereof — of about a half-dozen Charleston socialites, as well as a wider circle of friends who became recurring characters.

Ravenel’s courtship, relationship, acrimonious breakup and custody issues with the mother of his two children formed a central story line over multiple seasons. His opulent homes were a frequent backdrop for the show as he hosted parties and polo matches."
"69","Birmingham, AL — An Alabama father has been charged in the death of his infant son after he allegedly left the boy in a bathtub while playing video games Sunday night.

Cordarius Cotton, 23, has been charged with reckless manslaughter after Jefferson County Sheriff’s Office officials say he left 5-month-old Dezmend Cotton alone for more than an hour, according to The Birmingham News.

A 911 dispatcher gave CPR instructions over the phone to someone at the home, according to the paper. Paramedics took over upon arriving at the scene, but they weren’t able to resuscitate Dezmend. The boy was pronounced dead shortly after arriving at Children’s of Alabama.

“I can’t imagine how hard this is going to be on that child’s family,” Jefferson County Chief Deputy Randy Christian said in a press release, according to WIAT. “This will be heart wrenching for all involved. God be with them.”

Two other children who live at the home are now reportedly in the care of a grandmother.

Cotton is being held in the Jefferson County Jail on a $15,000 bond."
"70","Mugshots.com Writing Staff. Woodburn, OR — Margarito Sanchez Vega, 46, is wanted for rape after failing to appear at his trial on September 20, 2018.  He is charged with first-degree rape, first-degree unlawful sexual penetration and first-degree sexual abuse.  A warrant has been issued for his arrest.  The Woodburn Police Department is asking for the public’s help in locating this fugitive.

According to reports, the charges against Sanchez Vega stem from an alleged rape and abuse of a 10-year old girl in 2009, which was reported in 2014.  There was a two-year investigation into the allegations that resulted in Sanchez-Vega's arrest in 2016.

Sanchez-Vega was released from custody four days after his arrest.  The court ordered him to have no contact with the victim and appear at all scheduled court appearances. Sanchez-Vega had complied with the order up until he failed to appear for his trial last week, prompting Marion County Circuit Court to issue a warrant for his arrest.  His attorneys, Robert Cleland and Robert Sepp, withdrew from representing him on Friday.

Sanchez Vega is 5’3” tall and weighs approximately 160 pounds.  He is a Hispanic male with black hair and brown eyes. His whereabouts are unknown.

Please call 911 immediately if you see Sanchez Vega. Anyone with information on his whereabouts is asked to contact the Woodburn Police Department at 503-982-2345."
"71","Phoenix, AZ - A man released from prison just six weeks ago has been arrested for attempted murder. 

Phoenix police report that Friday night, they responded to a home near 3rd and Southern avenues for a shooting call. 

When they arrived, they found 39-year-old Francisco Nunez Carrillo crawling towards them. Police say Carrillo shot a family member with a handgun after an argument. The shooting critically damaged several of the victim's organs.

Carrillo allegedly told police that he picked up the victim’s gun, ""because he felt threatened,"" and admitted to firing one shot. 

The Department of Corrections website shows that Carrillo was released from prison just six weeks ago after serving four years on various convictions including armed robbery. 

He is now being held on a $500,000 cash bond for attempted murder."
"72","Murrieta, CA — Riverside County prosecutors Friday dropped all sexual assault charges against a convicted rapist who had been accused of repeatedly molesting two sisters in the Murrieta area, extracting a plea from him instead on a lesser count and saying the case could not go forward based on doubts about the strength of the evidence.

Michael James Camilleri, 42, of Winchester was arrested in March following a sheriff's investigation that led to the two alleged victims, neither of whom were identified, making allegations against the ex-convict.

Camilleri was ultimately charged with three counts of rape, 11 counts of lewd acts on a child and one count of violating sex registrant parole terms, with numerous sentence-enhancing allegations of preying on multiple victims.

Moments after Camilleri's case went before Superior Court Judge John Davis for a preliminary hearing at the Southwest Justice Center in Murrieta Friday morning, the prosecution and defense announced that a plea agreement had been reached, under which Camilleri admitted a felony charge of failure to comply with convicted sex offender registration terms.

All other counts were dismissed at the request of the District Attorney's Office.

Davis sentenced Camilleri to a year in county jail and three years probation.

""We determined that we did not believe we would be able to prove the dismissed counts beyond a reasonable doubt to a jury,"" District Attorney's Office Public Information Officer John Hall told City News Service.

Hall declined to provide specifics, including whether the victims had changed their stories. Defense attorney Suzanne Ferguson did not immediately respond to a request for comment.

Sheriff's officials said in March that a woman called deputies alleging that her ex-boyfriend -- Camilleri -- had molested her pre-teen daughter on several occasions in the preceding two years.

The woman, who was not identified, alleged that the assaults occurred while she resided in the 31000 block of Jan Steen Court in French Valley.

While detectives were gathering information, the victim's sister -- now 23 years old -- alleged that she, too, had been sexually assaulted by the defendant during encounters with him at a Murrieta residence several years earlier, according to the sheriff's department.

Detectives found and interviewed the convicted felon in Colton, where he was taken into custody without a struggle.

According to court records, Camilleri has a 1997 conviction for sexual assault on a minor, for which he served two years in state prison and was ordered to register as a sex offender.

Under California Penal Code section 290, sex registrants are required to keep a current address on file with law enforcement and notify authorities whenever they relocate. They're also generally prohibited from loitering where children gather and working in jobs that would involve routine contact with minors."
"73","Otter Tail County, MN — A man who informed sheriff’s deputies of a death at his home near Pelican Rapids has been arrested.

25-year-old Jordan Dalman was taken into custody on Friday.

On Saturday, the body of 28-year-old Dylan Butler was found buried on his property.

Authorities say it appeared Butler, who lived at the house with Dalman since May, had been shot.

He had previously lived in Oklahoma and Colorado.

An autopsy is being done.

Dalman is facing charges of murder and interference with a dead body."
"74","Atlanta, GA - Two Atlanta teenagers have been arrested in connection with a murder that happened two months ago in the parking lot of a Lilburn bowling alley, officials from the city’s police department confirmed Monday night.

Capt. Scott Bennett said Khalid Bays and Geovanni Perez, both 18, were arrested in connection with the murder of Snellville resident Rahmier Gardner on July 29. At the time of Gardner’s death, police said he had been bowling at the Brunswick Zone Bowling Alley at 3835 Lawrenceville Highway but stepped outside for unknown reasons.

Gardner was shot multiple times while he was in the parking lot.

Bennett said Bays is currently being held in the Fulton County Jail, where he was brought after Fulton County Sheriff’s Deputies arrested him Sept. 21. Between the two suspects, he is currently facing the longer list of charges.

Charges listed against Bays include aggravated assault, aggravated assault with a deadly weapon, armed robbery, murder and two counts of possession of a firearm during the commission of a felony, according to Fulton County jail records.

Perez was arrested Monday and booked into the Gwinnett County jail on charges of felony murder and assault, according to Gwinnett jail records.

Further details about the arrests are expected to be released Tuesday, according to Bennett.

Return to www.gwinnettdailypost.com for updates."
